gene,log2FoldChange
dgcJ,1.8108844194949154
yeaQ,1.5249777134423588
yoaC,2.423636784660899
yoaH,1.2932389901384098
yoaE,-1.7297388440199832
yoaL,-3.0565229407027186
manX,-3.283234406868536
manY,-2.7990831236679905
manZ,-2.4438997276400705
mntP,2.7202730866678535
yobF,-1.1784381970145328
yebO,5.136763742691055
mgrB,5.7102831198286665
yobH,2.1029118282332697
letA,1.9922461411686008
yebV,1.4031467439358785
pphA,2.039095090639
holE,2.148706996007161
purT,-1.6408540654357817
pykA,-1.4193562927528118
ruvC,-1.8333973654791555
yebC,-1.374447297022283
nudB,-1.288390716158715
aspS,-1.1756494355052134
flhE,-2.0268726568618325
flhA,-4.411432580071525
flhB,-4.263608216600176
cheZ,-4.814833952730156
cheY,-4.6149863493108745
cheB,-4.585704541483737
cheR,-4.281420893130927
tap,-4.278032383591935
tar,-4.298522099517437
cheW,-4.330543373285182
cheA,-3.2848221363570427
motB,-1.402142493039306
motA,-1.1886841493692033
flhC,-2.205730667836162
flhD,-3.0922872869321414
otsB,1.5446126969572926
azuC,2.012106035885559
yecR,-4.2743924376704
glyW,4.10317129531194
tcyN,-1.4460832714445941
tcyL,-1.5038868642601046
dcyD,-1.2167430792807115
tcyJ,-1.4582866764829703
fliZ,-4.863472328548988
fliA,-4.65388050350828
fliC,-4.535787708456133
fliD,-5.432895316788804
fliS,-5.3649239523855305
fliT,-5.156044898317805
amyA,-1.5294906416159089
yedE,-1.8967497655397658
yedF,-1.6582769555479977
yedL,-2.5131804017340786
fliE,-5.747847821775128
fliF,-5.926597044675755
fliG,-5.905574881890293
fliH,-5.649429122627464
fliI,-5.951997221902211
fliJ,-5.857127531428873
fliK,-4.770735619705652
fliL,-5.4984386566179735
fliM,-5.522922352329818
fliN,-5.231263316148486
fliO,-5.133040406018317
fliP,-4.951105821932689
fliQ,-3.8712006264799403
fliR,-2.5384844768317363
rcsA,-1.601164286032199
yodD,2.3595386309784443
yodC,1.742977443189624
yedR,1.6167731823121878
msrQ,3.871872429503007
yodB,3.33682156604062
shiA,-2.4743328124722277
yeeN,-1.8835998053408909
nac,-2.759868537019673
insH6,1.589631114195308
yeeW,2.5130061453431183
plaP,-1.5421946401485325
yoeI,-1.2465906115804182
yeeY,1.4896330727436857
yoeB,1.7278627015822634
yefM,1.437075362380391
gnd,-1.3896293165554188
rfbD,-1.2991824488820882
yegS,1.8536569800175073
gatD,-1.7477046285065931
gatB,-3.67217003872765
gatA,-3.6621967327257363
gatZ,-3.49761225172641
gatY,-3.717832257917209
rcnR,1.7500354654751715
rcnA,2.3588623889022853
rcnB,1.2968365807845157
yehE,1.4844176953844346
metG,-1.4155421097829777
mlrA,2.9253069708306416
osmF,1.6649740649958749
dld,-1.2004832313787774
yohC,2.6605314928319443
yohP,2.4535059512190127
yeiG,-1.3301928240236838
cirA,-4.140342994641434
fruK,-1.6979619551938998
fruB,-1.9139101648283887
yeiP,-1.1752227876420753
lpxT,1.3364510883232281
